Model,Coef,SE,P-value,CI_lower,CI_upper
Pooled OLS (không FE),-0.20161640754559423,0.03399730618885574,3.0226348180608913e-09,-0.26824990324713216,-0.1349829118440563
Entity FE (FEM),-0.007844005915232991,0.03732004951463727,0.8335255593619757,-0.08098995886517356,0.06530194703470758
Two-way FE (Entity & Time),-0.009452887180765012,0.03677403875688176,0.7971376451603304,-0.08152867871033335,0.06262290434880334
DML-PLR (LassoCV),-0.006601595826309656,0.012723967971931531,0.6038782254134586,-0.031540114791736615,0.0183369231391173
DML-PLR (ElasticNetCV),-0.0065893736873421805,0.012723434041629272,0.6045331312818072,-0.03152684616860645,0.018348098793922088
DML-PLR (RandomForest),0.03130763131866985,0.014439646574883183,0.030145634345182543,0.002710278505175221,0.05960882506806212
