symbol,organ_name
DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai
CPH,CTCP Phục vụ Mai táng Hải Phòng
VSM,CTCP Container Miền Trung
DTK,Tổng Công ty Điện lực TKV - CTCP
CET,CTCP HTC Holding
LSG,CTCP Bất động sản Sài Gòn Vina
NSS,CTCP Nông Súc Sản Đồng Nai
HAD,CTCP Bia Hà Nội - Hải Dương
TNT,CTCP Tập đoàn TNT
TAB,CTCP Freco Việt Nam
DBT,CTCP Dược phẩm Bến Tre
UEM,CTCP Cơ điện Uông Bí - Vinacomin
PPC,CTCP Nhiệt điện Phả Lại
MA1,CTCP Thiết bị
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN
DP1,CTCP Dược phẩm Trung ương CPC1
HEV,CTCP Sách Đại học - Dạy nghề
HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
CGV,CTCP Vinaceglass
SJD,CTCP Thủy điện Cần Đơn
PEQ,CTCP Thiết bị Xăng dầu Petrolimex
ABR,CTCP Đầu tư Nhãn hiệu Việt
SSC,CTCP Giống cây trồng Miền Nam
CLH,CTCP Xi măng La Hiên VVMI
TAR,CTCP Nông nghiệp Công nghệ cao Trung An
CLW,CTCP Cấp nước Chợ Lớn
HES,CTCP Dịch vụ Giải trí Hà Nội
TDG,CTCP Đầu tư TDG Global
VBH,CTCP Điện tử Bình Hòa
PCT,CTCP Vận tải biển Global Pacific
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu
SII,CTCP Hạ tầng Nước Sài Gòn
HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc
DRG,CTCP Cao su Đắk Lắk
BMG,CTCP May Bình Minh
TMS,CTCP Transimex
LM3,CTCP Lilama 3
VIN,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam
BLT,CTCP Lương thực Bình Định
HPT,CTCP Dịch vụ Công nghệ Tin học HPT
TQW,CTCP Cấp thoát nước Tuyên Quang
ICF,CTCP Đầu tư Thương mại Thủy sản
NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng
VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam
NDC,CTCP Nam Dược
PIS,Tổng Công ty Pisico Bình Định - CTCP
SPV,CTCP Thủy Đặc sản
M10,Tổng Công ty May 10 - CTCP
KOS,CTCP KOSY
MSH,CTCP May Sông Hồng
CHP,CTCP Thủy điện Miền Trung
SGC,CTCP Xuất nhập khẩu Sa Giang
TDS,CTCP Thép Thủ Đức - VNSTEEL
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex
PMS,CTCP Cơ khí Xăng dầu
BPC,CTCP VICEM Bao bì Bỉm Sơn
TVN,Tổng Công ty Thép Việt Nam - CTCP
SHC,CTCP Hàng hải Sài Gòn
HPA,CTCP Phát triển Nông nghiệp Hòa Phát
ADP,CTCP Sơn Á Đông
SDP,CTCP SDP
HSV,CTCP Tập đoàn HSV Việt Nam
CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam
TTT,CTCP Du lịch - Thương mại Tây Ninh
DAH,CTCP Tập đoàn Khách sạn Đông Á
AAN,CTCP Lương thực A An
DFF,CTCP Tập đoàn Đua Fat
VHH,CTCP Đầu tư Kinh doanh Nhà Thành Đạt
VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu
PTC,CTCP Đầu Tư Icapital
HPD,CTCP Thủy điện ĐăK Đoa
C69,CTCP Xây dựng 1369
HLC,CTCP Than Hà Lầm - Vinacomin
BHH,CTCP Bia Hà Nội - Hưng Yên 89
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
TRA,CTCP Traphaco
D11,CTCP Địa ốc 11
VSA,CTCP Đại lý Hàng hải Việt Nam
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện
TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP
PEN,CTCP Xây lắp III Petrolimex
NBT,CTCP Cấp thoát nước Bến Tre
ILA,CTCP ILA
UDL,CTCP Đô thị và Môi trường Đắk Lắk
NUE,CTCP Môi trường Đô thị Nha Trang
VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát
SCL,CTCP Sông Đà Cao Cường
TJC,CTCP Dịch vụ Vận tải và Thương mại
DHB,CTCP Phân đạm và Hóa chất Hà Bắc
BKG,CTCP Đầu tư BKG Việt Nam
NST,CTCP Ngân Sơn
PTE,CTCP Xi măng Phú Thọ
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng
L43,CTCP Lilama 45.3
CIG,CTCP COMA 18
SPI,CTCP Spiral Galaxy
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba
KST,CTCP KASATI
PTL,CTCP Victory Group
SGP,CTCP Cảng Sài Gòn
TDT,CTCP Đầu tư và Phát triển TDT
DGW,CTCP Thế Giới Số
FT1,CTCP Phụ tùng Máy số 1
CMG,CTCP Tập đoàn Công nghệ CMC
TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ
MPC,CTCP Tập đoàn Thủy sản Minh Phú
NHV,CTCP Sức Khỏe Hồi Sinh Việt Nam
TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn
HAF,CTCP Thực phẩm Hà Nội
WSB,CTCP Bia Sài Gòn - Miền Tây
LAI,CTCP Đầu Tư Xây dựng Long An IDICO
CST,CTCP Than Cao Sơn - TKV
CTP,CTCP Tập đoàn CTP Group
MH3,CTCP Khu Công nghiệp Cao su Bình Long
SIP,CTCP Đầu tư Sài Gòn VRG
VC9,CTCP Xây dựng số 9 - VC9
PIC,CTCP Đầu tư Điện lực 3
APF,CTCP Nông sản Thực phẩm Quảng Ngãi
DLT,CTCP Du lịch và Thương mại - Vinacomin
DOP,CTCP Vận tải Xăng dầu Đồng Tháp
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP
CT6,CTCP Công trình 6
NDW,CTCP Cấp nước Nam Định
HAT,CTCP Thương mại Bia Hà Nội
HUG,Tổng Công ty May Hưng Yên - CTCP
SHA,CTCP Sơn Hà Sài Gòn
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận
VBG,CTCP Địa chất Việt Bắc - TKV
HPX,CTCP Đầu tư Hải Phát
QTC,CTCP Công trình Giao thông Vận tải Quảng Nam
BLN,CTCP Vận tải và Dịch vụ Liên Ninh
LIG,CTCP Licogi 13
HRC,CTCP Cao su Hòa Bình
NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền
PFL,CTCP Dầu khí Đông Đô
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội
ECI,CTCP Tập Đoàn ECI
LQN,CTCP Licogi Quảng Ngãi
ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế
BQB,CTCP Bia Hà Nội - Quảng Bình
VCM,CTCP BV Life
BSL,CTCP Bia Sài Gòn - Sông Lam
MRF,CTCP Merufa
MGG,Tổng Công ty Đức Giang - CTCP
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái
IPA,CTCP Tập đoàn Đầu tư I.P.A
