symbol,organ_name
VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước
BHG,CTCP Chè Biển Hồ
TKU,CTCP Công nghiệp Tung Kuang
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh
DTH,CTCP Dược - Vật tư Y Tế Thanh Hóa
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng
XHC,CTCP Xuân Hòa Việt Nam
VE2,CTCP Xây dựng Điện VNECO 2
VJC,CTCP Hàng không Vietjet
VPI,CTCP Phát triển Bất động sản Văn Phú
FOX,CTCP Viễn thông FPT
LGC,CTCP Đầu tư Cầu đường CII
NAG,CTCP Tập đoàn Nagakawa
SGH,CTCP Khách sạn Sài Gòn
HT1,CTCP Xi Măng Vicem Hà Tiên
HCI,CTCP Đầu tư Xây dựng Hà Nội 
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP
C32,CTCP Đầu tư và Xây dựng 3-2
TRV,CTCP Vận tải Đường sắt
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị
CKV,CTCP COKYVINA
NTW,CTCP Cấp nước Nhơn Trạch
VDP,CTCP Dược phẩm Trung ương VIDIPHA
PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn
VSN,CTCP Việt Nam Kỹ nghệ Súc sản
TLG,CTCP Tập đoàn Thiên Long
CTW,CTCP Cấp thoát nước Cần Thơ
SGS,CTCP Vận tải biển Sài Gòn
IDJ,CTCP Đầu tư IDJ Việt Nam
VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà
G36,Tổng Công ty 36 - CTCP
HRB,CTCP Harec Đầu tư và Thương mại
TEG,CTCP Trường Thành Energy Group
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng
VNA,CTCP Vận tải Biển Vinaship
HUT,CTCP Tasco
ALT,CTCP Văn hóa Tân Bình
KCB,CTCP Khoáng sản và Luyện kim Cao Bằng - Vimico
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
DNM,Tổng Công ty cổ phần Y tế DANAMECO
SD4,CTCP Sông Đà 4
CNC,CTCP Công nghệ Cao Traphaco
PGC,Tổng Công ty Gas Petrolimex - CTCP
NAS,CTCP Dịch vụ Hàng không Sân bay Việt Nam
V21,CTCP Vinaconex 21
CH5,CTCP Xây dựng Số 5 Hà Nội
PND,CTCP Xăng dầu Dầu khí Nam Định
MAC,CTCP Tập đoàn Macstar
HJC,CTCP Hòa Việt
TCJ,CTCP Tô Châu
PVG,CTCP Kinh doanh LPG Việt Nam
TA6,CTCP Đầu tư và Xây lắp Thành An 665
THP,CTCP Thủy sản và Thương mại Thuận Phước
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc
ITC,CTCP Đầu tư và Kinh doanh Nhà
ICC,CTCP Xây dựng Công nghiệp (ICC)
BTV,CTCP Dịch vụ Du lịch Bến Thành
LUT,CTCP Đầu tư Xây dựng Lương Tài
BTS,CTCP Xi măng VICEM Bút Sơn
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai
ABC,CTCP Truyền thông VMG
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu
VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
SJM,CTCP Sunspace Holdings
HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà
DDM,CTCP Hàng Hải Đông Đô
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh
BQP,CTCP Nhựa Chất lượng cao Bình Thuận
D2D,CTCP Phát triển Đô thị Công nghiệp số 2
AAM,CTCP Thủy sản MeKong
VXP,CTCP Thuốc Thú y Trung ương VETVACO
HU4,CTCP Đầu tư và Xây dựng HUD4
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc
VFR,CTCP Vận tải và Thuê tàu
VC7,CTCP Tập đoàn BGI
DVG,CTCP Đại Việt Group DVG
S99,CTCP SCI
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ
NAP,CTCP Cảng Nghệ Tĩnh
HNF,CTCP Thực phẩm Hữu Nghị
ITD,CTCP Công nghệ ITD
PMJ,CTCP Vật tư Bưu Điện
MED,CTCP Dược Trung ương Mediplantex
INC,CTCP Tư vấn Đầu tư IDICO
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO
NHT,CTCP Sản xuất và Thương mại Nam Hoa
MES,CTCP Cơ điện Công trình
VWS,CTCP Nước và Môi Trường Việt Nam
VGR,CTCP Cảng Xanh Vip
BIG,CTCP Tập đoàn Đầu tư Big
PIA,CTCP Tin học Viễn thông Petrolimex
PDC,CTCP Du lịch Dầu khí Phương Đông
TCD,CTCP Tập đoàn Xây dựng TRACODI
POT,CTCP Thiết bị Bưu điện
THT,CTCP Than Hà Tu - Vinacomin
SCD,CTCP Nước giải khát Chương Dương
VTE,CTCP VINACAP Kim Long
SKV,CTCP Nước giải khát Yến sào Khánh Hòa
SHI,CTCP Quốc tế Sơn Hà
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE
MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm
PJT,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex
VFG,CTCP Khử trùng Việt Nam
VGG,Tổng Công ty cổ phần May Việt Tiến
TCW,CTCP Kho Vận Tân Cảng
OIL,Tổng Công ty Dầu Việt Nam - CTCP
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn
PDB,CTCP Tập đoàn Đầu tư Din Capital
DLD,CTCP Du lịch Đắk Lắk
F88,CTCP Đầu tư F88
DAN,CTCP Dược Danapha
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội
VRE,CTCP Vincom Retail
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
BCA,CTCP B.C.H
HFC,CTCP Xăng dầu HFC
PAS,CTCP Quốc tế Phương Anh
VNG,CTCP Du lịch Thành Thành Công
AVC,CTCP Thủy điện A Vương
DCF,CTCP Xây dựng và Thiết kế Số 1
TV2,CTCP Tư vấn Xây dựng Điện 2
MNB,Tổng Công ty May Nhà Bè - CTCP
VPS,CTCP Thuốc sát trùng Việt Nam 
TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
SDT,CTCP Sông Đà 10
SRB,CTCP Tập đoàn Sara
NFC,CTCP Phân lân Ninh Bình
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang
MWG,CTCP Đầu tư Thế giới Di động
BCP,CTCP Dược ENLIE
KSV,Tổng Công ty Khoáng sản TKV - CTCP
PCF,CTCP Cà phê PETEC
PIV,CTCP PIV
INN,CTCP Bao bì và In Nông nghiệp
NNC,CTCP Đá Núi Nhỏ
NHH,CTCP Nhựa Hà Nội
GGG,CTCP Ô tô Giải Phóng
TMP,CTCP Thủy điện Thác Mơ
CSM,CTCP Công nghiệp Cao su Miền Nam
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản
GPC,CTCP Tập đoàn Green+
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
STG,CTCP Kho vận Miền Nam
L35,CTCP Cơ khí Lắp máy Lilama
DNT,CTCP Du lịch Đồng Nai
MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai
SBA,CTCP Sông Ba
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao
ANV,CTCP Nam Việt
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc
ADG,CTCP Clever Group
MTG,CTCP MT Gas
EGL,CTCP Môi trường Đô thị Gia Lâm
VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận
NAF,CTCP Nafoods Group
SMA,CTCP Thiết bị Phụ tùng Sài Gòn
FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh
TRS,CTCP Vận tải và Dịch vụ Hàng hải
TSA,CTCP Đầu tư và Xây lắp Trường Sơn
VNZ,CTCP Tập đoàn VNG 
ADS,CTCP Damsan
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An
AIG,CTCP Nguyên liệu Á Châu AIG
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn
BBH,CTCP Bao bì Hoàng Thạch
CC1,Tổng Công ty Xây dựng Số 1 - CTCP
S4A,CTCP Thủy điện Sê San 4A
HC1,CTCP Xây dựng Số 1 Hà Nội
SIG,CTCP Đầu tư và Thương mại Sông Đà
DHD,CTCP Dược Vật tư Y tế Hải Dương
QCG,CTCP Quốc Cường Gia Lai
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP
SDD,CTCP Đầu tư và Xây lắp Sông Đà
XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội
IRC,CTCP Cao su Công nghiệp
RCC,CTCP Tổng Công ty Công trình Đường sắt Việt Nam
ACM,CTCP Tập đoàn Khoáng sản Á Cường
VTV,CTCP Năng lượng và Môi trường VICEM
PGS,CTCP Kinh doanh Khí Miền Nam
ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO
PLO,CTCP Kho Vận Petec
VHM,CTCP Vinhomes
CTR,Tổng Công ty cổ phần Công trình Viettel
VCX,CTCP Xi măng Yên Bình
TDC,CTCP Kinh doanh và Phát triển Bình Dương
TBW,CTCP Nước sạch Thái Bình
FCS,CTCP Lương thực Thành phố Hồ Chí Minh
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây
HCD,CTCP Đầu tư Sản xuất và Thương mại HCD
KMR,CTCP Mirae
VAV,CTCP VIWACO
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
TTD,CTCP Bệnh viện tim Tâm Đức
AST,CTCP Dịch vụ Hàng không Taseco
HU1,CTCP Đầu tư và Xây dựng HUD1
KIP,CTCP K.I.P Việt Nam
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC
UTT,CTCP Môi trường Nam Thành
HVH,CTCP Đầu tư và Công nghệ HVC
NVP,CTCP Nước sạch Vĩnh Phúc
PVH,CTCP Xây lắp Dầu khí Thanh Hóa
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng
HHC,CTCP Bánh kẹo Hải Hà 
GEE,CTCP Điện lực Gelex
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI
CRE,CTCP Bất động sản Thế Kỷ
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
HNA,CTCP Thủy điện Hủa Na
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà
V12,CTCP Xây dựng Số 12
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp
KPF,CTCP Đầu tư tài sản Koji
CKD,CTCP Cơ khí Đông Anh LICOGI
MZG,CTCP Miza
SHP,CTCP Thủy điện Miền Nam
SZG,CTCP Sonadezi Giang Điền
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP
VST,CTCP Vận tải và Thuê tàu biển Việt Nam
VNM,CTCP Sữa Việt Nam
DHT,CTCP Dược phẩm Hà Tây
LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO
SBT,CTCP Thành Thành Công - Biên Hòa
AAV,CTCP AAV Group
ILC,CTCP Hợp tác Lao động với nước ngoài
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland
HTM,Tổng Công ty Thương mại Hà Nội - CTCP
HTV,CTCP Logistics Vicem
C4G,CTCP Tập đoàn CIENCO4
AMP,CTCP Armephaco
SJ1,CTCP Nông nghiệp Hùng Hậu
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL
BXH,CTCP VICEM Bao bì Hải Phòng
RTB,CTCP Cao su Tân Biên
SZL,CTCP Sonadezi Long Thành
GAS,Tổng Công ty Khí Việt Nam - CTCP
SRF,CTCP SEAREFICO
NCS,CTCP Suất ăn Hàng không Nội Bài
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí
RGG,CTCP Regal Group
NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc
UPH,CTCP Dược phẩm TW 25
HTT,CTCP Thương mại Hà Tây
HEP,CTCP Môi trường và Công trình Đô thị Huế
TCR,CTCP Công nghiệp Gốm sứ Taicera
RCD,CTCP Xây dựng - Địa ốc Cao su
BHP,CTCP Bia Hà Nội - Hải Phòng
THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa
KTS,CTCP Đường Kon Tum
VET,CTCP Thuốc thú y Trung ương Navetco
DVN,Tổng Công ty Dược Việt Nam - CTCP
WCS,CTCP Bến xe Miền Tây
BTT,CTCP Thương mại Dịch vụ Bến Thành
CPC,CTCP Thuốc sát trùng Cần Thơ
HCC,CTCP Bê tông Hòa Cầm - Intimex
YEG,CTCP Tập đoàn Yeah1
VMK,CTCP Vimarko
SBM,CTCP Đầu tư Phát triển Bắc Minh
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD
HKT,CTCP QP Holdings
MFS,CTCP Dịch vụ Kỹ thuật Mobifone
CMI,CTCP CMISTONE Việt Nam
TOS,CTCP Dịch vụ biển Tân Cảng
VTP,Tổng Công ty cổ phần Bưu chính Viettel
IN4,CTCP In Số 4
DSD,CTCP DHC Suối Đôi
VTX,CTCP Vận tải Đa Phương Thức Vietranstimex
VDL,CTCP Thực phẩm Lâm Đồng
HBH,CTCP Habeco - Hải Phòng
CK8,CTCP Cơ khí 120
SVG,CTCP Hơi Kỹ nghệ Que hàn
BBS,CTCP VICEM Bao bì Bút Sơn
SZC,CTCP Sonadezi Châu Đức
VTB,CTCP Viettronics Tân Bình
SLS,CTCP Mía Đường Sơn La
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
LNC,CTCP Lệ Ninh
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
CMM,CTCP Camimex
TNI,CTCP Tập đoàn Thành Nam
DL1,CTCP Tập đoàn Alpha Seven
DPR,CTCP Cao su Đồng Phú
GCF,CTCP Thực phẩm G.C
GTD,CTCP Giầy Thượng Đình
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
KDM,CTCP Tập Đoàn GCL
TVC,CTCP Tập đoàn Quản lý tài sản T-Corp
VTS,CTCP Gạch ngói Từ Sơn
DCG,CTCP Tổng Công ty May Đáp Cầu
BTD,CTCP Bê tông Ly tâm Thủ Đức
HD2,CTCP Đầu tư Phát triển Nhà HUD2
TDB,CTCP Thủy điện Định Bình
HDA,CTCP Hãng sơn Đông Á
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
YBC,CTCP Xi măng và Khoáng sản Yên Bái
HTC,CTCP Thương mại Hóc Môn
UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu
DAG,CTCP Tập đoàn Nhựa Đông Á
L18,CTCP Đầu tư và Xây dựng Số 18
APH,CTCP Tập đoàn An Phát Holdings
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP
TCO,CTCP Janus Group
VNX,CTCP Quảng cáo và Hội chợ Thương mại
PPT,CTCP Petro Times
DSH,CTCP Đông Sơn Holding
DP2,CTCP Dược phẩm Trung ương 2
HAH,CTCP Vận tải và Xếp dỡ Hải An
LCG,CTCP Lizen
PBC,CTCP Dược phẩm Trung ương I - Pharbaco
LIC,Tổng Công ty LICOGI - CTCP
HHG,CTCP Hoàng Hà
PGT,CTCP PGT Holdings
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
CTB,CTCP Chế tạo Bơm Hải Dương
SCG,CTCP Tập đoàn Xây dựng SCG
C21,CTCP Thế Kỷ 21 
KTC,CTCP Thương mại Kiên Giang
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ
VPH,CTCP Vạn Phát Hưng
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay
VTO,CTCP Vận tải Xăng dầu Vitaco
CMV,CTCP Thương nghiệp Cà Mau
VC1,CTCP Xây dựng Số 1
AAH,CTCP Hợp Nhất
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc
KHW,CTCP Cấp thoát nước Khánh Hòa
PVP,CTCP Vận tải Dầu khí Thái Bình Dương
VPA,CTCP Vận tải Hoá Dầu VP
VNT,CTCP Giao nhận Vận tải Ngoại thương
TDF,CTCP Trung Đô
CDN,CTCP Cảng Đà Nẵng
UCT,CTCP Đô thị Cần Thơ
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân
VNY,CTCP Thuốc thú y Trung ương I
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP
VAF,CTCP Phân lân Nung chảy Văn Điển
THB,CTCP Bia Hà Nội - Thanh Hóa
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam
TTL,Tổng Công ty Thăng Long - CTCP
DXG,CTCP Bluemarq Group
VTR,CTCP Du lịch Vietravel
REE,CTCP Cơ Điện Lạnh
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
SCC,CTCP Thương mại Đầu tư SHB
DBC,CTCP Tập đoàn Dabaco Việt Nam
CMS,CTCP Tập Đoàn CMH Việt Nam
CMW,CTCP Cấp nước Cà Mau
NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum
HVX,CTCP Xi măng VICEM Hải Vân
DTL,CTCP Đại Thiên Lộc
IME,CTCP Cơ khí và Xây lắp Công nghiệp
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
DLG,CTCP Tập đoàn Đức Long Gia Lai
DTC,CTCP Viglacera Đông Triều
ONW,CTCP Tập đoàn ONW
SKG,CTCP Tàu cao tốc Superdong - Kiên Giang
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình
CVN,CTCP Vinam
TVH,CTCP Tư vấn Xây dựng công trình Hàng hải
VC6,CTCP Xây dựng và Đầu tư Visicons
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng
PPY,CTCP Xăng dầu Dầu khí Phú Yên
VDT,CTCP Lưới thép Bình Tây
SD5,CTCP Sông Đà 5
TCT,CTCP Cáp treo Núi Bà Tây Ninh
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP
SVT,CTCP Công nghệ Sài Gòn Viễn Đông
STH,CTCP STH Holdings
GHC,CTCP Thủy điện Gia Lai
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
VIT,CTCP Viglacera Tiên Sơn
NCT,CTCP Dịch vụ Hàng hóa Nội Bài
SDY,CTCP Xi măng Sông Đà Yaly
L63,CTCP Lilama 69-3
TOW,CTCP Cấp nước Trà Nóc - Ô Môn
SD7,CTCP Sông Đà 7
MTS,CTCP Vật tư - TKV
CMC,CTCP Đầu tư CMC
FIR,CTCP Địa ốc First Real
VQC,CTCP Giám định - Vinacomin
BMK,CTCP Kỹ thuật nhiệt Mèo Đen
GIC,CTCP VSC Green Logistics
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ
LTC,CTCP Điện nhẹ Viễn Thông
PTG,CTCP May Xuất khẩu Phan Thiết
NLG,CTCP Đầu tư Nam Long
KKC,CTCP Tập Đoàn Thành Thái
ATS,CTCP Tập đoàn Đầu tư ATS
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP
VE4,CTCP Xây dựng Điện VNECO4
GTT,CTCP Thuận Thảo
TAN,CTCP Cà phê Thuận An
SEP,CTCP Tổng Công ty Thương mại Quảng Trị
CAT,CTCP Thủy sản Cà Mau
SCO,CTCP Công nghiệp Thủy sản
FTM,CTCP Đầu tư và Phát triển Đức Quân
BEL,CTCP Điện tử Biên Hòa
HPP,CTCP Sơn Hải Phòng
CBS,CTCP Mía Đường Cao Bằng
VE9,CTCP Đầu tư và Xây dựng VNECO 9
NTT,CTCP Dệt - May Nha Trang
CMX,CTCP Camimex Group
RAL,CTCP Bóng đèn Phích nước Rạng Đông
SFG,CTCP Phân Bón Miền Nam
ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
CEN,CTCP CENCON Việt Nam
TTN,CTCP Công nghệ và Truyền thông Việt Nam
TVT,Tổng Công ty Việt Thắng - CTCP
CDC,CTCP Chương Dương
HPH,CTCP Hóa Chất Hưng Phát Hà Bắc
TMG,CTCP Kim loại màu Thái Nguyên - Vimico
LMH,CTCP Quốc Tế Holding
TSB,CTCP Ắc quy Tia Sáng
SFC,CTCP Nhiên liệu Sài Gòn
NET,CTCP Bột giặt NET
DDV,CTCP DAP - VINACHEM
HOM,CTCP Xi măng VICEM Hoàng Mai
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2
TOT,CTCP Transimex Logistics
MST,CTCP Đầu tư MST
PCG,CTCP Đầu tư Phát triển Gas Đô thị
BTB,CTCP Bia Hà Nội - Thái Bình
LG9,CTCP Cơ giới và Xây lắp Số 9
BSH,CTCP Bia Sài Gòn - Hà Nội
CLI,CTCP Tập đoàn CNCTech
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar)
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai
TVD,CTCP Than Vàng Danh - Vinacomin
QNT,CTCP Tư vấn Phát triển Quảng Nam
CCS,CTCP Chíp Sáng
APC,CTCP Chiếu xạ An Phú
ADC,CTCP Mỹ thuật và Truyền thông
VGC,Tổng Công ty Viglacera - CTCP
RYG,CTCP Sản xuất và Đầu tư Hoàng Gia
PVL,CTCP Địa ốc Dầu khí
CBI,CTCP Gang thép Cao Bằng
DC4,CTCP DICERA Holdings
COM,CTCP Vật tư - Xăng Dầu
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
STW,CTCP Cấp nước Sóc Trăng
ALC,CTCP Âu Lạc
BTG,CTCP Bao bì Tiền Giang
L12,CTCP Licogi 12
VC3,CTCP Tập đoàn Nam Mê Kông
GTS,CTCP Công trình Giao thông Sài Gòn
FCN,CTCP FECON
KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương
HTL,CTCP Kỹ thuật và Ô tô Trường Long
GDT,CTCP Chế biến Gỗ Đức Thành
THM,CTCP Tứ Hải Hà Nam
TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
SJF,CTCP Đầu tư Sao Thái Dương
TGG,CTCP The Golden Group
IMP,CTCP Dược phẩm Imexpharm
CJC,CTCP Cơ điện Miền Trung
MSN,CTCP Tập đoàn Masan
PV2,CTCP Đầu tư PV2
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô
MDC,CTCP Than Mông Dương - Vinacomin
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
DTT,CTCP Kỹ nghệ Đô Thành
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO
NQN,CTCP Nước sạch Quảng Ninh
UDC,CTCP Đầu tư Xây dựng UDCons
VE8,CTCP Xây dựng Điện VNECO 8
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP
LKW,CTCP Cấp nước Long Khánh
NTL,CTCP Phát triển Đô thị Từ Liêm
TTH,CTCP Thương mại và Dịch vụ Tiến Thành
BRC,CTCP Cao su Bến Thành
DTD,CTCP Đầu tư Phát triển Thành Đạt
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang
KGM,CTCP Xuất nhập khẩu Kiên Giang
FOC,CTCP Dịch vụ Trực tuyến FPT
DM7,CTCP Dệt May 7
USC,CTCP Khảo sát và Xây dựng -USCO
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh
MML,CTCP Masan MeatLife
POM,CTCP Thép Pomina
DCL,CTCP Dược phẩm Cửu Long
DMN,CTCP Domenal
BTN,CTCP Đầu tư Bitco Bình Định
S72,CTCP Sông Đà 7.02
ACG,CTCP Gỗ An Cường
MDG,CTCP Miền Đông
DHP,CTCP Điện cơ Hải Phòng
CCT,CTCP Cảng Cần Thơ
MGR,CTCP Tập đoàn MGROUP
HPO,CTCP Công nghiệp Hapulico
QHD,CTCP Que hàn điện Việt Đức
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh
CLL,CTCP Cảng Cát Lái
HTP,CTCP In Sách Giáo khoa Hòa Phát
BT6,CTCP Beton 6
PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn
QPH,CTCP Thủy điện Quế Phong
VXT,CTCP Kho vận và Dịch vụ Thương mại
TV4,CTCP Tư vấn Xây dựng Điện 4
TRT,CTCP RedstarCera
VMA,CTCP Công nghiệp Ô tô - Vinacomin
TTG,CTCP May Thanh Trì
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX)
PVR,CTCP Đầu tư PVR Hà Nội
PHP,CTCP Cảng Hải Phòng
BFC,CTCP Phân bón Bình Điền
GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh
GLW,CTCP Cấp thoát nước Gia Lai
PTV,CTCP Thương mại Dầu khí
TIG,CTCP Tập đoàn Đầu tư Thăng Long
VGP,CTCP Cảng Rau Quả
MTP,CTCP Dược Medipharco
GLC,CTCP Vàng Lào Cai
TR1,CTCP Vận Tải 1 Traco
BCR,CTCP BCG Land
PHH,CTCP Hồng Hà Việt Nam
VXB,CTCP Vật liệu Xây dựng Bến Tre
PHR,CTCP Cao su Phước Hòa
HVA,CTCP Đầu tư HVA
PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương
SD2,CTCP Sông Đà 2
FPT,CTCP FPT
PCH,CTCP Nhựa Picomat
KSQ,CTCP CNC Capital Việt Nam
DCH,CTCP Địa chính Hà Nội
BKC,CTCP Khoáng sản Bắc Kạn
CDP,CTCP Dược phẩm Trung ương Codupha
HLO,CTCP Công nghệ Ha Lô
DGC,CTCP Tập đoàn Hóa chất Đức Giang
NLS,CTCP Cấp thoát nước Lạng Sơn
VMC,CTCP Vimeco
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va 
LAF,CTCP Chế biến hàng Xuất khẩu Long An
VTK,CTCP Tư Vấn Và Dịch Vụ Viettel
MHL,CTCP Minh Hữu Liên
TPC,CTCP Nhựa Tân Đại Hưng
LHG,CTCP Long Hậu
VSC,CTCP Container Việt Nam
SGI,CTCP Đầu tư SGI Holdings
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh
DVM,CTCP Dược liệu Việt Nam
DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng
MCP,CTCP In và Bao bì Mỹ Châu
PNG,CTCP Thương mại Phú Nhuận
PVI,CTCP PVI
VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam
VNS,CTCP Ánh Dương Việt Nam
IDC,Tổng Công ty IDICO - CTCP
THG,CTCP Đầu tư và Xây dựng Tiền Giang
VTQ,CTCP Việt Trung Quảng Bình
