Model,Coef,SE,P-value,CI_lower,CI_upper
Traditional OLS (Entity & Time FE),-0.009452887180765012,0.01311175003935774,0.4709416395755708,-0.03515144503219782,0.016245670670667796
DML-PLR (LassoCV),-0.005797924760296878,0.012600584973627675,0.6454219095140363,-0.030508135314457424,0.01889876797214995
DML-PLR (ElasticNetCV),-0.006011973253063033,0.012739416477925482,0.6369845738709761,-0.030980770733853084,0.01895682422772702
DML-PLR (RandomForest),0.035620390161046574,0.01458736289404857,0.014611555992727798,0.006657854038019478,0.06421109606279775
