symbol,organ_name,en_organ_name,exchange,type,id,industry_code,industry_name,sector,profile_status,exclude_reason,included_nonfinancial
CST,CTCP Than Cao Sơn - TKV,Cao Son Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
CTB,CTCP Chế tạo Bơm Hải Dương,Hai Duong Pump Manufacturing Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc",listing_only,,True
CTP,CTCP Tập đoàn CTP Group,CTP Group Corporation,HNX,stock,1,12.0,Nông - Lâm - Ngư,Nông - Lâm - Ngư,listing_only,,True
CTT,CTCP Chế tạo Máy - Vinacomin,Vinacomin - Machinery Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc",listing_only,,True
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8,Constrexim No 8 Investment and Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
D11,CTCP Địa ốc 11,Real Estate 11 Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Da Nang Education Development and Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Educational Book Joint Stock Company in Da Nang City,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2,Development Investment Construction Number 2 Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
DHP,CTCP Điện cơ Hải Phòng,Hai Phong Electrical Mechanical Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện,listing_only,,True
DHT,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An,Development Investment Construction Hoi An Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
DL1,CTCP Tập đoàn Alpha Seven,Alpha Seven Group Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
DNC,CTCP Điện Nước Lắp máy Hải Phòng,Hai Phong Electricity Water Machine Assembly JSC,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
DNP,CTCP DNP Holding,DNP Holding Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
DP3,CTCP Dược phẩm Trung ương 3,Central Pharmaceutical Joint Stock Company No 3,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DS3,CTCP DS3,DS3 Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
DST,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
DTD,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
DTG,CTCP Dược phẩm Tipharco,Tipharco Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DTK,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
DVM,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DXP,CTCP Cảng Đoạn Xá,DoanXa Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Educational Book Joint Stock Company in Hanoi City,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
ECI,CTCP Tập Đoàn ECI,ECI Group Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
