Model,Coef,SE,P-value,CI_lower,CI_upper,N,Firms
Pooled OLS (clustered by firm),-0.10625178827710886,0.007597203715978598,1.9074177932890832e-44,-0.12114203394364079,-0.09136154261057694,18873,619
Entity FE (clustered by firm),-0.05370835513168867,0.00925921233134827,6.610495456968426e-09,-0.07185607782634043,-0.035560632437036915,18873,619
Two-way FE (entity + time),-0.06667764973994708,0.00886490646313303,5.413937616351092e-14,-0.08405254713400417,-0.04930275234588999,18873,619
DML-PLR LassoCV (group folds),-0.06648242325741398,0.003968865772406008,5.569352157227447e-63,-0.0742612572308035,-0.05870358928402446,18873,619
DML-PLR ElasticNetCV (group folds),-0.06647396040562348,0.00396880112294796,5.746180570868415e-63,-0.0742526676684036,-0.05869525314284335,18873,619
DML-PLR RandomForest (group folds),-0.0408491570753434,0.0041116392452098085,2.9316080436522485e-23,-0.04890782191337608,-0.032790492237310724,18873,619
