seed,theta,se,pvalue,ci_lower,ci_upper
1,-0.041018906763237946,0.004062293708416385,5.6683187535893125e-24,-0.04898085612635772,-0.03305695740011817
2,-0.04117676224354633,0.004087176866886971,7.153527908293567e-24,-0.049187481701090045,-0.03316604278600261
3,-0.04145701848474333,0.00409048504336146,3.864194146498722e-24,-0.04947422184903155,-0.0334398151204551
4,-0.0416638437766666,0.004125811959601281,5.618630602887415e-24,-0.04975028662446974,-0.03357740092886346
5,-0.04142890270607728,0.004095539074007508,4.710419497584356e-24,-0.04945601178840852,-0.03340179362374603
