model_family,source,Coef,SE,P-value,CI_lower,CI_upper,N,Firms
DML Lasso,CafeF BCTC,-0.0711618174394189,0.0106937687811275,2.842407044868552e-11,-0.0921225679495284,-0.0502024157694101,14255,578
DML ElasticNet,CafeF BCTC,-0.0711409829057672,0.0106930296013646,2.8713128881193723e-11,-0.0921048464801149,-0.0501830300014718,14255,578
DML Random Forest,CafeF BCTC,-0.0478722062880692,0.009900828282318,1.3303065286610871e-06,-0.0672403351589989,-0.0284669394564894,14255,578
DML Lasso,VCI ratios (previous),-0.0664824232574139,0.003968865772406,5.569352157227447e-63,-0.0742612572308035,-0.0587035892840244,18873,619
DML ElasticNet,VCI ratios (previous),-0.0664739604056234,0.0039688011229479,5.746180570868415e-63,-0.0742526676684036,-0.0586952531428433,18873,619
DML Random Forest,VCI ratios (previous),-0.0408491570753434,0.0041116392452098,2.9316080436522485e-23,-0.048907821913376,-0.0327904922373107,18873,619
