specification,theta,se,pvalue,ci_lower,ci_upper,N,Firms,Periods
Primary sample,-0.047872206288069256,0.00990082828231805,1.3303065286610871e-06,-0.06724033515899891,-0.028466939456489475,14255,578,27
Exclude 2021-Q2,-0.04755235113394831,0.009839406718375469,1.3459396017178768e-06,-0.06683723393120566,-0.02826746833669095,13710,578,26
At least 16 quarters,-0.04250543764327345,0.009821557215634531,1.506268513384381e-05,-0.061879914115909,-0.023255531964654963,13988,559,27
