Model,Coef,SE,P-value,CI_lower,CI_upper,N,Firms,Periods,SE_type
Pooled OLS (clustered by firm),-0.11098893158820554,0.008852444584195889,4.645156103640184e-36,-0.12833940414836614,-0.09363845902804493,14255,578,27,firm-clustered
Entity FE (clustered by firm),-0.04587962842521398,0.010150611115823356,6.1872267308366805e-06,-0.0657744606332997,-0.02598479621712827,14255,578,27,firm-clustered
Two-way FE (entity + time),-0.07246041882457788,0.010639187760450324,9.711846235000521e-12,-0.09331284365981987,-0.05160799398933588,14255,578,27,firm-clustered
DML-PLR LassoCV (clustered by firm),-0.07116181743941893,0.010693768781127525,2.8424070448685522e-11,-0.09212256794952844,-0.050202415769410196,14255,578,27,firm-clustered
DML-PLR ElasticNetCV (clustered by firm),-0.07114098290576727,0.010693029601364647,2.8713128881193723e-11,-0.09210484648011494,-0.05018303000147187,14255,578,27,firm-clustered
DML-PLR RandomForest (clustered by firm),-0.04787220628806926,0.00990082828231805,1.3303065286610871e-06,-0.06724033515899891,-0.028466939456489482,14255,578,27,firm-clustered
