specification,theta,se,pvalue,ci_lower,ci_upper,N,Firms,Periods
RF seed 1,-0.0469804544742039,0.010086598927929383,3.19745920626178e-06,-0.06674982509944581,-0.02721108384896199,14255,578,27
RF seed 2,-0.049367552172116455,0.009965526818955156,7.276579269536831e-07,-0.06889962582423657,-0.029835478519996336,14255,578,27
RF seed 3,-0.0481476479569832,0.009763851570022878,8.17198735657442e-07,-0.06734119570090008,-0.0290108505293435,14255,578,27
RF seed 4,-0.047781237843560045,0.00991550429643238,1.4439462447575427e-06,-0.06721526915311968,-0.02834720653400041,14255,578,27
RF seed 5,-0.04757939466099351,0.01007793522908132,2.3452053877108734e-06,-0.06711989038685066,-0.02782700726133276,14255,578,27
