Model,Coef,SE,P-value,CI_lower,CI_upper,N,Firms
Pooled OLS (clustered by firm),-0.10665223709835797,0.007643118407953668,2.973555366725916e-44,-0.12163247390752227,-0.09167200028919367,18734,609
Entity FE (clustered by firm),-0.053847810831378906,0.009314328919394025,7.417852813569851e-09,-0.07210356005355108,-0.035592061609206735,18734,609
Two-way FE (entity + time),-0.06693113908330436,0.008919879223707275,6.209211802339064e-14,-0.08441378110821772,-0.04944849705839101,18734,609
DML-PLR LassoCV (group folds),-0.06641077160878166,0.003948446974899508,1.7573408246815954e-63,-0.07414958547445083,-0.05867195774311249,18734,609
DML-PLR ElasticNetCV (group folds),-0.06640207330752479,0.003948352281855077,1.8115365453695025e-63,-0.07414070157823728,-0.0586634450368123,18734,609
DML-PLR RandomForest (group folds),-0.04083897367249716,0.004096136532087234,2.0597935765121895e-23,-0.048867253751146936,-0.03281069359384739,18734,609
