seed,theta,se,pvalue,ci_lower,ci_upper
1,-0.04257646493013999,0.004087378098976929,2.083288235232151e-25,-0.05058757879533256,-0.03456535106494742
2,-0.04183179669056819,0.004106253950758329,2.258643183095282e-24,-0.04987990654542982,-0.03378368683570656
3,-0.042500685266306196,0.004114663875393486,5.20583962573416e-25,-0.050565278270565436,-0.034436092262046955
4,-0.042131504290733104,0.004089822067026203,6.933538170882383e-25,-0.05014740824528162,-0.03411560033618459
5,-0.042515945463418185,0.004088640744529527,2.517279521341031e-25,-0.05052953406841909,-0.03450235685841728
